Code,ID,Name,FV,ISIN,Industry,Marketcap
533540,TREEHOUSE,TREE HOUSE EDUCATION & ACCESSORIES LTD,10,INE040M01013,Education,97.31
542233,TREJHARA,TREJHARA SOLUTIONS LTD,10,INE00CA01015,Computers - Software & Consulting,267.39
500251,TRENT,TRENT LTD,1,INE849A01020,Speciality Retail,144141.28
532159,TRESCON,TRESCON LTD,10,INE088D01011,Residential- Commercial Projects,114.31
505854,TRF,TRF LTD,10,INE391D01019,Industrial Products,482.08
534369,TBZ,TRIBHOVANDAS BHIMJI ZAVERI LTD,10,INE760L01018,Gems- Jewellery And Watches,801.1
531716,TRICOMFRU,TRICOM FRUIT PRODUCTS LIMITED,10,INE843F01014,Other Food Products,2.25
543616,TLL,TRIDENT LIFELINE LTD,10,INE0MKA01014,Pharmaceuticals,183.99
521064,TRIDENT,TRIDENT LTD,1,INE064C01022,Other Textile Products,20358.34
540726,TTFL,TRIDENT TEXOFAB LTD,10,INE071Y01013,Other Textile Products,50.58
517562,TRIGYN,TRIGYN TECHNOLOGIES LTD,10,INE948A01012,Computers - Software & Consulting,373.71
509046,TRILIANCE,TRILIANCE POLYMERS LTD,10,INE778N01016,Diversified Commercial Services,6.69
531846,TRINITYLEA,TRINITY LEAGUE INDIA LTD,10,INE884X01011,Other Financial Services,15.28
534755,TRIOMERC,TRIO MERCANTILE & TRADING LTD,2,INE234G01022,Other Financial Services,6.79
512101,TRIPR,TRIOCHEM PRODUCTS LTD,10,INE331E01013,Pharmaceuticals,0.43
531279,TRISHAKT,TRISHAKTI INDUSTRIES LTD,2,INE238C01022,Non Banking Financial Company (NBFC),88.48
505978,TRITONV,TRITON VALVES LTD,10,INE440G01017,Auto Components & Equipments,282.37
532356,TRIVENI,TRIVENI ENGINEERING & INDUSTRIES LTD,1,INE256C01024,Sugar,7272.88
538569,TRIVENIENT,TRIVENI ENTERPRISES LTD,1,INE916P01025,Trading & Distributors,11.16
502281,TRIVENIGQ,TRIVENI GLASS LTD,10,INE094C01011,Other Construction Materials,32.85
533655,TRITURBINE,TRIVENI TURBINE LTD,1,INE152M01016,Heavy Electrical Equipment,17325.88
540268,TRU,TRUCAP FINANCE LTD,2,INE615R01029,Non Banking Financial Company (NBFC),808.94
